91 153
-1.127790767082146e-01 2.136023610756474e-03 1.000000000000000e-02
-1.047118392214221e-01 2.138112684637011e-03 1.000000000000000e-02
-9.664459622765767e-02 2.140206057715602e-03 1.000000000000000e-02
-8.857734772691497e-02 2.142303730002140e-03 1.000000000000000e-02
-8.051009371918765e-02 2.144405701506591e-03 1.000000000000000e-02
-7.244283420446926e-02 2.146511972238918e-03 1.000000000000000e-02
-6.437556918275353e-02 2.148622542208975e-03 1.000000000000000e-02
-5.630829865403407e-02 2.150737411426754e-03 1.000000000000000e-02
-4.824102261830447e-02 2.152856579902163e-03 1.000000000000000e-02
-4.017374107555841e-02 2.154980047645166e-03 1.000000000000000e-02
-3.210645402578951e-02 2.157107814665674e-03 1.000000000000000e-02
-2.403916146899143e-02 2.159239880973635e-03 1.000000000000000e-02
-1.597186340515777e-02 2.161376246578958e-03 1.000000000000000e-02
-7.904559834282197e-03 2.163516911491609e-03 1.000000000000000e-02
1.627492436420026e-04 2.165661875721509e-03 1.000000000000000e-02
7.893538873784026e-03 4.234976024074466e-03 1.000000000000000e-02
1.562656276070608e-02 6.304885555309864e-03 1.000000000000000e-02
2.336404931087288e-02 8.375988060813744e-03 1.000000000000000e-02
3.110822820745534e-02 1.044888147461423e-02 1.000000000000000e-02
3.886133105400022e-02 1.252416424600331e-02 1.000000000000000e-02
4.662559201863412e-02 1.460243551230560e-02 1.000000000000000e-02
5.440324847898689e-02 1.668429527184341e-02 1.000000000000000e-02
6.219654166802076e-02 1.877034455714897e-02 1.000000000000000e-02
7.000771732094877e-02 2.086118560847186e-02 1.000000000000000e-02
7.783902632343562e-02 2.295742204763457e-02 1.000000000000000e-02
8.569272536125944e-02 2.505965905228345e-02 1.000000000000000e-02
9.357107757162980e-02 2.716850353058774e-02 1.000000000000000e-02
1.014763531963431e-01 2.928456429643508e-02 1.000000000000000e-02
1.094108302369687e-01 3.140845224517587e-02 1.000000000000000e-02
1.173767951122522e-01 3.354078052996604e-02 1.000000000000000e-02
1.253765433179235e-01 3.568216473875875e-02 1.000000000000000e-02
1.334123800891057e-01 3.783322307199809e-02 1.000000000000000e-02
1.414866210655086e-01 3.999457652106356e-02 1.000000000000000e-02
1.496015929596035e-01 4.216684904751815e-02 1.000000000000000e-02
1.577596342279691e-01 4.435066776321206e-02 1.000000000000000e-02
1.659630957460043e-01 4.654666311129299e-02 1.000000000000000e-02
1.742143414861977e-01 4.875546904817583e-02 1.000000000000000e-02
1.825157492001549e-01 5.097772322652407e-02 1.000000000000000e-02
1.908697111045752e-01 5.321406717929582e-02 1.000000000000000e-02
1.992786345713777e-01 5.546514650490739e-02 1.000000000000000e-02
2.077449428221743e-01 5.773161105356797e-02 1.000000000000000e-02
2.162710756272904e-01 6.001411511483912e-02 1.000000000000000e-02
2.248594900095316e-01 6.231331760647244e-02 1.000000000000000e-02
2.335126609529038e-01 6.462988226458166e-02 1.000000000000000e-02
2.422330821164858e-01 6.696447783520179e-02 1.000000000000000e-02
2.510232665536621e-01 6.931777826729230e-02 1.000000000000000e-02
2.598857474369215e-01 7.169046290723885e-02 1.000000000000000e-02
2.688230787884317e-01 7.408321669491025e-02 1.000000000000000e-02
2.778378362165968e-01 7.649673036132723e-02 1.000000000000000e-02
2.869326176588131e-01 7.893170062799923e-02 1.000000000000000e-02
2.961100441306331e-01 8.138883040798770e-02 1.000000000000000e-02
3.053727604815547e-01 8.386882900875295e-02 1.000000000000000e-02
3.147234361576536e-01 8.637241233684381e-02 1.000000000000000e-02
3.241647659712750e-01 8.890030310448846e-02 1.000000000000000e-02
3.336994708780084e-01 9.145323103814615e-02 1.000000000000000e-02
3.433302987611673e-01 9.403193308908009e-02 1.000000000000000e-02
3.530600252239987e-01 9.663715364601205e-02 1.000000000000000e-02
3.628914543898496e-01 9.926964474991992e-02 1.000000000000000e-02
3.728274197105232e-01 1.019301663110400e-01 1.000000000000000e-02
3.828707847830505e-01 1.046194863281368e-01 1.000000000000000e-02
3.930244441751167e-01 1.073383811101036e-01 1.000000000000000e-02
4.032913242593790e-01 1.100876354999568e-01 1.000000000000000e-02
4.136743840569108e-01 1.128680431012899e-01 1.000000000000000e-02
